N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1.0,16,3.0,43,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,16,11.0,45,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1.0,23,12.0,57,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1.0,19,9.0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,23,9.0,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,21,9.0,21,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,0,15.0,19,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,21,1.0,38,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,8,4.0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5,9.0,53,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1.0,20,9.0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,9,15.0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,4,1.0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,16,9.0,60,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,11,14.0,55,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1.0,11,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,20,8.0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,15,14.0,43,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,3,1.0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,6,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,7,9.0,49,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,9,7.0,58,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,15,7.0,67,1,0,0,0,0,0,0,0,0,0,1,0,0,1
